train,test
5.195121765136718750e-01,5.167999863624572754e-01
5.201951265335083008e-01,5.167999863624572754e-01
5.199024081230163574e-01,5.167999863624572754e-01
5.199024081230163574e-01,5.167999863624572754e-01
5.192195177078247070e-01,5.167999863624572754e-01
5.198048353195190430e-01,5.167999863624572754e-01
5.194146037101745605e-01,5.167999863624572754e-01
5.203902125358581543e-01,5.155999660491943359e-01
5.519999861717224121e-01,5.335999727249145508e-01
5.708292722702026367e-01,5.399999618530273438e-01
5.816585421562194824e-01,5.475999712944030762e-01
5.937560796737670898e-01,5.543999671936035156e-01
5.912194848060607910e-01,5.515999794006347656e-01
5.985365509986877441e-01,5.587999820709228516e-01
5.847804546356201172e-01,5.487999916076660156e-01
5.650731325149536133e-01,5.360000133514404297e-01
5.872194766998291016e-01,5.543999671936035156e-01
5.951219201087951660e-01,5.651999711990356445e-01
6.175609827041625977e-01,5.527999997138977051e-01
6.330731511116027832e-01,5.543999671936035156e-01
6.315121650695800781e-01,5.636000037193298340e-01
6.528780460357666016e-01,5.568000078201293945e-01
6.474146246910095215e-01,5.559999942779541016e-01
6.498536467552185059e-01,5.600000023841857910e-01
6.802926659584045410e-01,5.551999807357788086e-01
6.860487461090087891e-01,5.564000010490417480e-01
6.961951255798339844e-01,5.587999820709228516e-01
6.844877600669860840e-01,5.631999969482421875e-01
7.082926630973815918e-01,5.607999563217163086e-01
7.190243601799011230e-01,5.575999617576599121e-01
7.180487513542175293e-01,5.568000078201293945e-01
7.229267954826354980e-01,5.604000091552734375e-01
7.372682690620422363e-01,5.595999956130981445e-01
7.391219139099121094e-01,5.623999834060668945e-01
7.453658580780029297e-01,5.623999834060668945e-01
7.545365691184997559e-01,5.679999589920043945e-01
7.596097588539123535e-01,5.663999915122985840e-01
7.477073073387145996e-01,5.611999630928039551e-01
7.712194919586181641e-01,5.600000023841857910e-01
7.688780426979064941e-01,5.587999820709228516e-01
7.777560949325561523e-01,5.695999860763549805e-01
7.846829295158386230e-01,5.503999590873718262e-01
7.979512214660644531e-01,5.600000023841857910e-01
8.100487589836120605e-01,5.715999603271484375e-01
7.968780398368835449e-01,5.615999698638916016e-01
7.933658361434936523e-01,5.631999969482421875e-01
8.219512104988098145e-01,5.651999711990356445e-01
8.301463127136230469e-01,5.647999644279479980e-01
8.274146318435668945e-01,5.735999941825866699e-01
8.452682495117187500e-01,5.640000104904174805e-01
